,id,subj,verb,obj1,adj1,preps1,obj2,adj2,preps2,obj1 phrasal weight,obj2 phrasal weight,distilgpt2 sentence score,full obj1,full obj2,obj1 syll,obj2 syll,distilgpt2 obj1 tokens,distilgpt2 obj2 tokens,obj1 len,obj2 len,gpt2 sentence score,gpt2 obj1 tokens,gpt2 obj2 tokens,gpt2_med sentence score,gpt2_med obj1 tokens,gpt2_med obj2 tokens,gpt2_large sentence score,gpt2_large obj1 tokens,gpt2_large obj2 tokens,gpt2_xl sentence score,gpt2_xl obj1 tokens,gpt2_xl obj2 tokens,llama_3 sentence score,llama_3 obj1 tokens,llama_3 obj2 tokens,llama_3_chat sentence score,llama_3_chat obj1 tokens,llama_3_chat obj2 tokens,babyopt sentence score,babyopt obj1 tokens,babyopt obj2 tokens,babyllama sentence score,babyllama obj1 tokens,babyllama obj2 tokens,mistral_0.3 sentence score,mistral_0.3 obj1 tokens,mistral_0.3 obj2 tokens,mistral_0.3_chat sentence score,mistral_0.3_chat obj1 tokens,mistral_0.3_chat obj2 tokens,olmo sentence score,olmo obj1 tokens,olmo obj2 tokens,olmo_chat sentence score,olmo_chat obj1 tokens,olmo_chat obj2 tokens,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,var,responses
0,0,John,cooked,his mother,"['sick', 'disabled']",['at the care home'],a feast,['celebratory'],['of pie'],4,3,-5.2961424659,his sick disabled mother at the care home,a celebratory feast of pie,11,9,8,6,8,5,-4.6514764674,8,6,-4.9283308141,8,6,-4.6598918298,8,6,-4.8768666492,8,6,-4.8228285578,8,6,-5.2179786629,8,6,-7.414996518,8,6,-5.7189782461,9,6,-4.5612750053,8,7,-4.6429455155,8,7,-4.5920778162,8,6,-4.7061656503,8,6,1.2222222222,1.6,1.3333333333,John cooked a celebratory feast of pie for his sick disabled mother at the care home.,John cooked his sick disabled mother at the care home a celebratory feast of pie.,-0.8382715337000001,-0.8467796095000001,-0.9311214229,-0.7790702178000001,-0.6444601327,-0.6898397667,-1.0842803725,-0.676666587,-0.5518799093,-0.5696505566,-1.0542181485,-1.4218242975,da,"[7.0, 7.0, 6.0, 1.0, 7.0]"
1,1,John,played,his roommate,"['visiting', 'exchange']",['from Korea'],a song,[],['with a really good chorus'],4,2,-6.2713588476,his visiting exchange roommate from Korea,a song with a really good chorus,12,10,6,8,6,7,-5.6203377247,6,8,-5.4095246792,6,8,-5.2571971714,6,8,-5.1753700972,6,8,-5.1421757866,6,8,-5.2492962164,6,8,-8.1402235873,6,8,-5.5778322781,7,8,-4.4370781999,7,9,-4.5547069248,7,9,-4.6439790165,7,8,-4.9646305757,7,8,1.2,0.8571428571,2.0,John played a song with a really good chorus for his visiting exchange roommate from Korea.,John played his visiting exchange roommate from Korea a song with a really good chorus.,-0.6647948742,-0.529468139,-0.44076895920000003,-0.4865000963,-0.48867572060000003,-0.6769824046,-0.885748779,-0.6867506837,-0.2841728375,-0.337346123,-0.3895236814,-0.5943407697,da,"[6.0, 6.0, 5.0, 4.0, 7.0]"
2,2,John,showed,the group,"['large', 'crowded', 'tour']",['with maps'],the building,[],"['with the dome', 'by the famous artist', 'from Italy']",5,4,-6.0391029176,the large crowded tour group with maps,the building with the dome by the famous artist from Italy,8,16,7,12,7,11,-5.8414321173,7,12,-5.6674875532,7,12,-5.4886935779,7,12,-5.6463829676,7,12,-5.3063406511,7,12,-5.1152909452,7,12,-7.0535514788,7,12,-5.527311097,8,13,-5.3595062546,7,13,-5.3468600978,7,13,-4.9724870863,7,12,-5.0482085773,7,12,0.5,0.6363636364,1.25,John showed the building with the dome by the famous artist from Italy to the large crowded tour group with maps.,John showed the large crowded tour group with maps the building with the dome by the famous artist from Italy.,-0.0980561029,-0.3001855578,-0.283546727,-0.0844878753,0.1668052694,-0.015798061000000002,-0.7540120078,-0.1790447348,0.2447130407,0.2651210623,-0.0834931908,0.0848074981,da,"[1.0, 2.0, 6.0, 1.0]"
3,3,John,showed,his friend,['good'],[],the piece,"['famous', 'art']",[],2,3,-5.4514612198,his good friend,the famous art piece,3,5,4,5,3,4,-4.9892738342000005,4,5,-5.0812236786,4,5,-4.7714427471,4,5,-4.8084830284,4,5,-4.9174762639,4,5,-4.779419899,4,5,-7.9308142662,4,5,-4.9266153812,4,5,-4.9607121294,4,5,-4.9583780549,4,5,-4.5402105331,4,5,-4.755445528,4,5,0.6000000000000001,0.75,0.6666666667000001,John showed the famous art piece to his good friend.,John showed his good friend the famous art piece.,-0.28075078330000003,-0.258954917,-0.34662340480000003,-0.09851136740000001,-0.23991065890000002,-0.3550318718,-0.4730329514,-0.2792656846,-0.3260800058,-0.4122197368,-0.24456705520000002,-0.07463270300000001,da,"[7.0, 2.0, 2.0, 1.0]"
4,4,John,shipped,his friend,"['trusted', 'longtime']",['with the medical degree'],flowers,['beautiful'],"['with trimmed stems', 'from the nursery in town']",4,4,-6.06095641,his trusted longtime friend with the medical degree,beautiful flowers with trimmed stems from the nursery in town,13,16,8,11,8,10,-5.5920535496,8,11,-5.3924148196,8,11,-5.4698058764,8,11,-5.4179956799,8,11,-5.4031581445,8,10,-5.5627565167,8,10,-7.9488721111,8,11,-5.5379898071,9,14,-4.2569131321,9,14,-4.2219682976,9,14,-5.3914763587,8,11,-5.4272334462,8,11,0.8125,0.8,1.0,John shipped beautiful flowers with trimmed stems from the nursery in town to his trusted longtime friend with the medical degree.,John shipped his trusted longtime friend with the medical degree beautiful flowers with trimmed stems from the nursery in town.,-0.5619185039,-0.6892603284000001,-0.5570191701,-0.22608646100000002,-0.5173885234,-0.3137038085,-0.3059899022,-0.3143701037,-0.43941073950000004,-0.37577765280000003,-0.3606134755,-0.7431579465,da,"[2.0, 7.0, 2.0, 7.0]"
5,5,John,mailed,his family,['extended'],"['from the farms', 'in Kansas']",a letter,['written'],['with bank information'],4,3,-5.4861397463,his extended family from the farms in Kansas,a written letter with bank information,13,11,8,6,8,6,-4.842518526,8,6,-5.0308595545,8,6,-5.0652492748,8,6,-4.9925757576,8,6,-5.1213752959,8,6,-5.3494368394,8,6,-7.6776883867,8,6,-4.8568579621,8,6,-4.866230262,8,6,-5.0421050975,8,6,-4.7012086195,8,6,-4.8594531452,8,6,1.1818181818,1.3333333333,1.3333333333,John mailed a written letter with bank information to his extended family from the farms in Kansas.,John mailed his extended family from the farms in Kansas a written letter with bank information.,-0.5363574448,-0.29010263610000003,-0.5673162534,-0.5397384237,-0.3055586098,-0.3259443442,-0.7261416086,-0.5711127839,-0.42660812600000003,-0.33742689530000003,-0.15064493,-0.0304372872,da,"[6.0, 6.0, 2.0, 7.0]"
6,6,John,cooked,Mary,[],['from the dorms'],soup,[],['from his kitchen'],2,2,-5.9917000135, Mary from the dorms, soup from his kitchen,5,5,5,4,4,4,-5.1250476837,5,4,-5.3642015457,5,4,-5.3195466995,5,4,-5.1823084752,5,4,-5.4808202157,5,4,-5.8534544064,5,4,-8.4533373026,5,4,-5.6956968307,5,4,-5.2362149312,5,4,-5.4235306153,5,4,-4.9949768384,5,4,-5.0093135039,5,4,1.0,1.0,1.0,John cooked soup from his kitchen for Mary from the dorms.,John cooked Mary from the dorms soup from his kitchen.,-0.8726295125,-1.0535886071,-0.9656601819,-1.2907693422,-0.4235208462,-0.5010023759,0.2183158306,-0.7115225792000001,-0.6910698658000001,-0.8723677825,-0.9334279263,-1.2705286561,da,"[2.0, 4.0, 7.0, 7.0, 5.0]"
7,7,John,drafted,his family,[],['in the plains'],a letter,"['serious', 'long', 'written']","['for the financial account', 'for the house']",2,6,-5.6957810402,his family in the plains,a serious long written letter for the financial account for the house,7,19,6,12,5,12,-5.4493082047,6,12,-5.5492771149,6,12,-5.4293717146,6,12,-5.2939290047,6,12,-5.341732343,6,12,-5.7326417196,6,12,-7.7591212136,6,12,-4.9514243035,6,12,-4.9086832171,7,12,-4.8616645647,7,12,-5.1556940079,6,12,-5.4960835934,6,12,0.3684210526,0.4166666667,0.33333333330000003,John drafted a serious long written letter for the financial account for the house for his family in the plains.,John drafted his family in the plains a serious long written letter for the financial account for the house.,-0.6749575665,-0.5783649645,-0.5889079131,-0.4266185961,-0.6217492978,-0.3277148258,-0.12300146990000001,-0.516811523,-0.6116693416,-0.5832772594,-0.501988687,-0.6067896818,da,"[1.0, 5.0, 6.0, 7.0, 3.0]"
8,8,John,shipped,his roommate,"['sweet', 'friendly', 'college']",['from Dubai'],a car,"['new', 'sports']",[],5,3,-6.1530408859,his sweet friendly college roommate from Dubai,a new sports car,11,4,7,5,7,4,-5.6419184549,7,5,-6.1192358562,7,5,-5.5672692571,7,5,-5.7330895492,7,5,-5.9732737859,7,5,-5.8406720797,7,5,-8.6525849024,7,5,-5.2308124093,9,5,-5.0147874215,9,5,-4.9695959091,9,5,-5.3357542674,8,5,-5.5649584452,8,5,2.75,1.75,1.6666666667,John shipped a new sports car to his sweet friendly college roommate from Dubai.,John shipped his sweet friendly college roommate from Dubai a new sports car.,-0.5649323306,-0.3977624348,-0.5865004561,-0.5160163078000001,-0.3926259132,-0.7038783732,-0.7480237053000001,-0.6076786729,-0.4945893726,-0.5085135997,-0.5859511148000001,-0.9445007438,da,"[7.0, 6.0, 6.0, 7.0, 1.0]"
9,9,John,showed,the group,[],['with maps'],the building,"['Baroque', 'church']","['with the dome', 'from Italy']",2,5,-5.7458569209,the group with maps,the Baroque church building with the dome from Italy,4,13,5,11,4,9,-5.3484846751,5,11,-5.054072698,5,11,-4.7100533115,5,11,-4.9509081046,5,11,-5.0495302412,5,10,-5.1885513465,5,10,-6.5965231845,5,11,-4.9698956013,6,12,-4.5534751415,5,12,-4.6682841301,5,12,-4.7467512804,5,10,-5.0260920244,5,10,0.3076923077,0.4444444444,0.4,John showed the Baroque church building with the dome from Italy to the group with maps.,John showed the group with maps the Baroque church building with the dome from Italy.,0.07965443180000001,-0.0865251503,-0.217833988,-0.3244453271,-0.3125147103,-0.3219230549,0.0374412592,0.0218615407,-0.1913993108,-0.2959095654,-0.3712322992,-0.25139561120000004,da,"[4.0, 6.0, 3.0, 7.0, 7.0]"
