,tmp,id,subj,verb,particle,np,adjectives,prepositions,np phrasal weight,distilgpt2 sentence score,full obj,noun syll,prt syll,distilgpt2_token,np len,prt len,prt tokens,gpt2 sentence score,gpt2_token,gpt2_med sentence score,gpt2_med_token,gpt2_large sentence score,gpt2_large_token,gpt2_xl sentence score,gpt2_xl_token,llama_3 sentence score,llama_3_token,llama_3_chat sentence score,llama_3_chat_token,babyopt sentence score,babyopt_token,babyllama sentence score,babyllama_token,mistral_0.3 sentence score,mistral_0.3_token,mistral_0.3_chat sentence score,mistral_0.3_chat_token,olmo sentence score,olmo_token,olmo_chat sentence score,olmo_chat_token,prt phrasal weight,np syll,syll_ratio,wordlength_ratio,mods_ratio,sentence_shifted,sentence_nonshifted,gpt2_score,gpt2_med_score,gpt2_large_score,gpt2_xl_score,llama_3_score,llama_3_chat_score,babyopt_score,babyllama_score,mistral_0.3_score,mistral_0.3_chat_score,olmo_score,olmo_chat_score,gpt2_prt_token,gpt2_med_prt_token,gpt2_large_prt_token,gpt2_xl_prt_token,llama_3_prt_token,llama_3_chat_prt_token,mistral_0.3_prt_token,mistral_0.3_chat_prt_token,olmo_prt_token,olmo_chat_prt_token,babyopt_prt_token,babyllama_prt_token,var,responses
0,1793,0,John,hand,in,his reviews,['performance'],['of company research'],3,-6.7862466176,his performance reviews of company research,13,1,6,6,1,6,-6.3859185113,6,-6.5645179749,6,-6.594947762,6,-6.557937728,6,-6.4847736835,6,-7.0677341938,6,-10.4138113976,6,-7.3595898416,6,-6.5737431049,6,-7.167653513,6,-6.532102055,6,-6.2918260892,6,1,3,13.0,6,3,John hand in his performance reviews of company research.,John hand his performance reviews of company research in.,-1.0726869371,-1.0760247972,-0.7925019264000001,-0.9805374676,-0.9906549931,-0.6426263332000001,-0.7112468242000001,-0.7117017640000001,-0.9988235951000001,-0.2509264946,-0.0422453351,0.0363575617,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 2.0, 4.0, 4.0, 5.0]"
1,3953,1,John,gave,away,the recipe,['family'],['with instructions'],3,-6.0555574894,the family recipe with instructions,11,2,5,5,1,5,-5.5703639984,5,-5.1811747551,5,-5.1217249632,5,-5.5501990914,5,-5.6795346472,5,-6.362203651,5,-7.9477412966,5,-5.2785957654,6,-5.4670049879,5,-5.7543840408,5,-5.0225183964,5,-5.4101443291,5,1,4,5.5,5,3,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,-0.753112793,-1.0685963631,-1.158455193,-0.7288277150000001,-0.4565624131,-0.0517641703,-1.160879453,-0.7442306413,-0.8262112936,-0.9395976067,-1.1039953232,-1.2690509557,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 6.0, 1.0, 6.0, 7.0]"
2,3627,2,John,kept,up,the joke,[],"['about his role', 'for the play']",3,-4.9854571603,the joke about his role for the play,11,1,9,8,1,10,-4.5618476868,9,-4.743897178,9,-4.4926557107,9,-4.7416080995,9,-4.9330729246,9,-5.5064305067,9,-6.8557013671,9,-4.2956378677,9,-4.907003363,9,-4.9397740761,9,-4.51023648,10,-4.8909393657,10,1,2,11.0,8,3,John kept up the joke about his role for the play.,John kept the joke about his role for the play up.,-0.5899842002,-0.6478385925,-0.6098128666,-0.21849419850000001,-0.5056781372,-0.4225941897,-0.5655720234,-0.9578717838,-0.5883704821,-0.6808135113,-0.1559847485,-0.5532211391,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 6.0, 6.0, 6.0, 6.0]"
3,1654,3,John,called,off,his wedding,[],"['in the churchouse', 'in the afternoon']",3,-5.3457366625,his wedding in the churchouse in the afternoon,13,1,10,8,1,11,-5.2389567693,10,-5.1221866608,10,-4.6623473565,10,-4.6015665134,10,-5.0529364439,10,-5.1043460919,10,-7.6183425096,10,-4.9120357037,10,-5.163298937,10,-5.2705381834,10,-4.6430381934,11,-5.074023962,11,1,3,13.0,8,3,John called off his wedding in the churchouse in the afternoon.,John called his wedding in the churchouse in the afternoon off.,-0.8555908203,-0.5545689265,-0.8146560192000001,-0.7284266948,-0.6306413137,-0.8677387238000001,-0.9089989296000001,-0.2906498114,-0.793704363,-0.7812338609,-0.7385118802,-0.5938982169,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[5.0, 7.0, 4.0, 1.0]"
4,2183,4,John,turned,down,her proposal,"['updated', 'stock']","['from the meeting', 'for the funds', 'for his company']",6,-5.629404664,her updated stock proposal from the meeting for the funds for his company,20,1,13,13,1,13,-5.6444766521,13,-5.8477480412,13,-5.6408236325,13,-5.5519159138,13,-5.5244720122,13,-5.4126271921,13,-7.0389528555,13,-5.4543297712,14,-5.4633114759,13,-5.5640462146,13,-5.4145628214,13,-5.6192873716,13,1,4,20.0,13,6,John turned down her updated stock proposal from the meeting for the funds for his company.,John turned her updated stock proposal from the meeting for the funds for his company down.,-0.5962877274,-0.29531121250000003,-0.1349081695,-0.3144384921,-0.8171793153,-0.7590629353,-0.9515053805,-0.5142711471,-0.5519103162,-0.6211618255,-0.515830934,-0.8314300478000001,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[4.0, 2.0, 4.0, 7.0]"
5,3345,5,John,cleans,up,the mess,"['big', 'food']",['on the carpet'],4,-5.5722383499,the big food mess on the carpet,8,1,7,7,1,7,-4.9819049835,7,-5.3428073883,7,-5.0528309822,7,-4.8108390808,7,-5.0131343495,7,-4.8648624854,7,-7.1697675532,7,-4.7768289393,7,-4.2888562679,7,-4.342108806,7,-4.1756668091,7,-4.0195867538,7,1,2,8.0,7,4,John cleans up the big food mess on the carpet.,John cleans the big food mess on the carpet up.,-1.0418704987,-1.0858951569,-1.2132514477,-1.1424926758,-0.6692941405,-1.2695531411,-1.0102805224,-0.6167404001,-1.0504942338,-1.1077427466,-0.9246307373,-0.9215165139,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 5.0, 7.0, 7.0]"
6,397,6,John,put,out,a statement,['long'],"['from his client', 'for the press']",4,-4.27023681,a long statement from his client for the press,11,1,9,9,1,9,-3.9773801168,9,-4.2218281428,9,-4.150439779,9,-4.2987252076,9,-4.9184525930000005,9,-5.2896179419000005,9,-6.2542033195,9,-4.4513490995,9,-4.8041342589000005,9,-4.8577169638,9,-4.6639269988,9,-5.1270815531,9,1,3,11.0,9,4,John put out a long statement from his client for the press.,John put a long statement from his client for the press out.,-0.8858108520000001,-0.9405047099,-0.8812120358000001,-0.62139829,-0.45604063910000003,-0.3527309711,-0.9379255222,-0.6143057743,-0.4516382584,-0.6112912619,-0.5537524223,-0.6141830286000001,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 5.0, 3.0, 7.0]"
7,2470,7,John,threw,away,the leftovers,"['stinky', 'dinner']","['on the shelf', 'in the fridge']",5,-4.9335084279,the stinky dinner leftovers on the shelf in the fridge,14,2,12,10,1,12,-4.4572158813,12,-4.2058425903,12,-4.07415603,12,-4.1122074445,12,-4.2043317795,11,-4.4025835355,11,-6.3880855739,12,-4.5354871452,13,-3.2312582731,16,-3.3914109707,16,-3.8727584203,12,-4.2989458084,12,1,4,7.0,10,5,John threw away the stinky dinner leftovers on the shelf in the fridge.,John threw the stinky dinner leftovers on the shelf in the fridge away.,-0.5521062216,-0.3885111491,-0.4609179497,-0.5924000104,-0.5281907717000001,-0.9818632762,-0.8246747851,-0.4269042313,-0.4388263464,-0.4077298641,-0.3287584941,-0.3887071292,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 5.0, 7.0]"
8,315,8,John,put,out,the fire,"['massive', 'red']",['in the living room'],4,-4.7950177626,the massive red fire in the living room,12,1,8,8,1,8,-4.5900157582,8,-4.6990828081,8,-4.2622226368,8,-4.0396748023,8,-4.4371647835,8,-4.7754870653,8,-6.163837115,8,-4.2138572173,8,-4.6566372712,8,-4.6937427521,8,-4.0391811891,8,-3.9288540753,8,1,2,12.0,8,4,John put out the massive red fire in the living room.,John put the massive red fire in the living room out.,-0.3526396318,-0.37379039410000003,-0.5914692879,-0.6519402157,-0.5118551254,-0.7413931688000001,-1.283972303,-0.5210969665,-0.2388326725,-0.411392649,-0.7737822966,-1.4420924621,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[7.0, 6.0, 6.0, 7.0, 6.0]"
9,282,9,John,put,out,the fire,['hot'],['of the fireplace'],3,-5.4373289744,the hot fire of the fireplace,9,1,6,6,1,6,-5.1484307183,6,-5.3861601088,6,-4.5482753118,6,-4.7160977258,6,-4.8303934097,6,-5.2549370289,6,-6.9512356281,6,-4.1268970701,6,-4.3623906916,7,-4.6035902717,7,-4.3510517014,6,-4.4690526326,6,1,2,9.0,6,3,John put out the hot fire of the fireplace.,John put the hot fire of the fireplace out.,-0.0774188572,0.1704326206,-0.4688571824,-0.19507312770000002,-0.13794121750000002,-0.1659571171,-0.5807067871,-0.5427803464000001,-0.1427931785,-0.1769705252,-0.406560421,-0.5442901188,1,1,1,1,1,1,1,1,1,1,1,1,pm,"[2.0, 7.0, 1.0, 7.0, 6.0]"
